cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,male,female,total_population
9411,valle,burgos,10,7,15,47,86,96,69,165
9412,valle,burgos,84,49,63,209,457,471,391,862
9413,valle,burgos,58,18,38,123,251,268,220,488
9414,valle,burgos,12,5,10,44,119,112,78,190
9415,valle,burgos,28,16,21,83,180,189,139,328
9416,valle,burgos,4,1,5,5,30,29,16,45
9417,vallejera,burgos,1,0,4,8,26,23,16,39
9418,valles,burgos,2,7,4,16,46,43,32,75
9419,valluercanes,burgos,1,1,3,12,45,42,20,62
9421,vid,burgos,19,7,24,51,144,140,105,245
9422,vid,burgos,1,2,3,3,15,13,11,24
9423,vilena,burgos,0,0,0,8,19,17,10,27
9424,viloria,burgos,2,2,3,6,24,23,14,37
9425,vilviestre,burgos,23,26,47,117,291,279,225,504
9427,villadiego,burgos,107,50,140,359,799,798,657,1455
9428,villaescusa,burgos,4,4,8,21,55,49,43,92
9429,villaescusa,burgos,5,2,6,15,31,41,18,59
9430,villaespasa,burgos,0,0,1,4,17,14,8,22
9431,villafranca,burgos,5,2,14,23,78,76,46,122
9432,villafruela,burgos,6,4,15,21,97,86,57,143
9433,villagalijo,burgos,3,0,3,10,36,30,22,52
9434,villagonzalo,burgos,453,156,140,676,454,991,888,1879
9437,villahoz,burgos,15,12,27,58,165,152,125,277
9438,villalba,burgos,100,50,70,200,289,372,337,709
9439,villalbilla,burgos,337,83,147,596,359,815,707,1522
9440,villalbilla,burgos,3,1,3,22,45,49,25,74
9441,villaldemiro,burgos,10,4,13,20,44,52,39,91
9442,villalmanzo,burgos,26,25,45,100,212,222,186,408
9443,villamayor,burgos,12,3,24,30,97,83,83,166
9444,villamayor,burgos,0,1,3,10,42,32,24,56
9445,villambistia,burgos,1,0,3,5,35,33,11,44
9446,villamedianilla,burgos,0,0,0,3,6,6,3,9
9447,villamiel,burgos,1,0,0,9,33,26,17,43
9448,villangomez,burgos,7,12,22,56,134,139,92,231
9449,villanueva,burgos,15,10,6,39,52,73,49,122
9450,villanueva,burgos,1,0,0,7,19,17,10,27
9451,villanueva,burgos,21,15,26,89,128,140,139,279
9454,villanueva,burgos,1,1,1,11,28,23,19,42
9455,villaquiran,burgos,1,1,8,5,31,28,18,46
9456,villaquiran,burgos,8,5,10,37,81,75,66,141
9458,villariezo,burgos,161,42,44,291,184,392,330,722
9460,villasandino,burgos,13,8,12,34,111,100,78,178
9463,villasur,burgos,16,14,26,74,144,161,113,274
9464,villatuelda,burgos,9,2,6,14,22,27,26,53
9466,villaverde,burgos,2,4,10,8,84,64,44,108
9467,villaverde-mogina,burgos,6,6,7,21,35,50,25,75
9471,villayerno,burgos,31,22,12,63,77,107,98,205
9472,villazopeque,burgos,1,1,1,17,32,31,21,52
9473,villegas,burgos,0,2,9,19,49,41,38,79
9476,villoruebo,burgos,3,0,2,18,40,43,20,63
9478,vizcainos,burgos,0,2,5,7,26,35,5,40
9480,zael,burgos,2,5,20,19,70,59,57,116
9482,zarzosa,burgos,0,0,1,7,23,20,11,31
9483,zazuar,burgos,18,15,25,47,104,109,100,209
9485,zuneda,burgos,0,3,4,14,36,30,27,57
9901,quintanilla,burgos,16,10,25,88,198,184,153,337
9902,valle,burgos,33,18,43,119,266,284,195,479
9903,villarcayo,burgos,566,226,368,1180,1703,2066,1977,4043
9904,valle,burgos,42,28,37,161,273,317,224,541
9905,valle,burgos,29,17,42,102,219,232,177,409
9906,merindad,burgos,185,79,116,429,606,795,620,1415
9907,alfoz,burgos,480,174,198,785,502,1117,1022,2139
9908,valle,burgos,36,12,29,172,247,281,215,496
10001,abadia,caceres,40,27,36,84,145,183,149,332
10002,abertura,caceres,28,24,35,88,196,189,182,371
10003,acebo,caceres,46,28,37,136,334,294,287,581
10004,acehuche,caceres,130,39,77,223,335,409,395,804
10005,aceituna,caceres,77,36,46,167,258,303,281,584
10006,ahigal,caceres,151,72,127,323,673,680,666,1346
10007,albala,caceres,46,35,84,130,361,341,315,656
10008,alcantara,caceres,131,69,136,325,687,680,668,1348
10009,alcollarin,caceres,23,16,27,63,136,134,131,265
10010,alcuescar,caceres,304,170,265,655,1082,1295,1181,2476
10011,aldeacentenera,caceres,54,42,67,130,299,324,268,592
10012,aldea,caceres,61,25,61,134,320,302,299,601
10013,aldea,caceres,25,18,21,70,155,155,134,289
10014,aldeanueva,caceres,226,117,193,514,945,977,1018,1995
10015,aldeanueva,caceres,77,33,56,190,344,343,357,700
10016,aldehuela,caceres,43,25,25,88,171,182,170,352
10017,alia,caceres,52,30,45,191,427,383,362,745
10018,aliseda,caceres,201,106,158,479,783,888,839,1727
10019,almaraz,caceres,260,91,181,475,613,826,794,1620
10020,almoharin,caceres,242,101,188,471,792,894,900,1794
10021,arroyo,caceres,701,333,559,1527,2400,2734,2786,5520
10022,arroyomolinos,caceres,38,25,52,89,226,221,209,430
10023,arroyomolinos,caceres,76,53,100,192,405,414,412,826
10024,banos,caceres,84,34,71,175,374,348,390,738
10025,barrado,caceres,37,20,35,85,205,201,181,382
10026,belvis,caceres,94,45,79,215,320,393,360,753
10027,benquerencia,caceres,4,3,2,21,53,46,37,83
10028,berrocalejo,caceres,10,9,18,23,66,68,58,126
10029,berzocana,caceres,30,12,34,80,238,204,190,394
10030,bohonal,caceres,45,23,48,89,298,247,256,503
10031,botija,caceres,18,13,25,43,89,101,87,188
10032,brozas,caceres,213,108,156,416,858,870,881,1751
10033,cabanas,caceres,31,18,32,85,240,208,198,406
10034,cabezabellosa,caceres,8,18,27,67,213,172,161,333
10035,cabezuela,caceres,304,154,203,596,907,1104,1060,2164
10036,cabrero,caceres,32,27,32,94,164,196,153,349
10037,caceres,caceres,15979,7215,9964,29323,33967,46162,50286,96448
10038,cachorrilla,caceres,6,2,9,20,46,41,42,83
10039,cadalso,caceres,20,34,35,85,232,209,197,406
10040,calzadilla,caceres,39,31,43,119,225,235,222,457
10041,caminomorisco,caceres,153,66,102,262,546,602,527,1129
10042,campillo,caceres,2,3,3,16,60,40,44,84
10043,campo,caceres,83,50,86,211,376,399,407,806
10044,canamero,caceres,210,114,114,447,718,850,753,1603
10045,canaveral,caceres,95,54,109,233,527,525,493,1018
10046,carbajo,caceres,17,5,12,42,100,91,85,176
10047,carcaboso,caceres,151,61,99,292,469,548,524,1072
10048,carrascalejo,caceres,12,6,17,35,156,115,111,226
10049,casar,caceres,699,291,497,1318,1672,2213,2264,4477
10050,casar,caceres,98,36,76,226,559,513,482,995
10051,casares,caceres,8,14,21,68,265,196,180,376
10052,casas,caceres,12,13,9,42,102,97,81,178
10053,casas,caceres,40,22,33,85,148,178,150,328
10054,casas,caceres,43,37,65,146,293,306,278,584
10055,casas,caceres,98,48,79,214,328,396,371,767
10056,casas,caceres,45,26,50,144,302,283,284,567
10057,casas,caceres,8,9,10,25,60,75,37,112
10058,casatejada,caceres,227,124,166,370,491,736,642,1378
10059,casillas,caceres,26,11,30,81,196,173,171,344
10060,castanar,caceres,109,50,107,243,524,538,495,1033
10061,ceclavin,caceres,199,128,171,422,861,905,876,1781
10062,cedillo,caceres,37,29,40,107,221,220,214,434
10063,cerezo,caceres,8,4,9,29,102,77,75,152
10064,cilleros,caceres,192,104,144,358,755,791,762,1553
10065,collado,caceres,45,23,21,100,86,146,129,275
10066,conquista,caceres,24,12,17,42,89,112,72,184
10067,coria,caceres,1730,858,1204,3479,4854,5983,6142,12125
10068,cuacos,caceres,100,37,76,211,405,415,414,829
10069,"cumbre,",caceres,68,33,94,177,456,415,413,828
10070,deleitosa,caceres,60,37,60,178,348,355,328,683
10071,descargamaria,caceres,3,4,6,27,69,59,50,109
10072,eljas,caceres,60,33,60,196,488,427,410,837
10073,escurial,caceres,136,55,82,251,351,467,408,875
10075,fresnedoso,caceres,22,16,18,51,132,128,111,239
10076,galisteo,caceres,89,63,81,225,386,419,425,844
10077,garciaz,caceres,52,36,58,154,364,347,317,664
10078,"garganta,",caceres,12,16,19,69,239,190,165,355
10079,garganta,caceres,78,44,85,220,459,472,414,886
10080,gargantilla,caceres,27,25,24,71,217,189,175,364
10081,garguera,caceres,3,11,16,44,111,100,85,185
10082,garrovillas,caceres,251,102,182,474,958,967,1000,1967
10083,garvin,caceres,17,5,9,23,47,59,42,101
10084,gata,caceres,146,69,105,373,680,701,672,1373
10085,"gordo,",caceres,53,19,32,132,140,204,172,376
10086,"granja,",caceres,30,13,23,80,170,165,151,316
10087,guadalupe,caceres,194,111,152,443,851,875,876,1751
10088,guijo,caceres,8,7,8,55,110,106,82,188
10089,guijo,caceres,185,103,195,371,636,750,740,1490
10090,guijo,caceres,33,12,36,94,312,253,234,487
10091,guijo,caceres,45,18,19,91,202,201,174,375
10092,herguijuela,caceres,15,19,27,53,156,142,128,270
10093,hernan-perez,caceres,38,33,50,91,200,201,211,412
10094,herrera,caceres,20,9,15,50,132,124,102,226
10095,herreruela,caceres,32,18,34,85,164,167,166,333
10096,hervas,caceres,531,260,347,1061,1723,1921,2001,3922
10097,higuera,caceres,5,3,17,20,54,56,43,99
10098,hinojal,caceres,17,13,38,64,256,194,194,388
10099,holguera,caceres,79,38,58,142,276,298,295,593
10100,hoyos,caceres,104,50,76,248,384,436,426,862
10101,huelaga,caceres,38,15,16,64,73,99,107,206
10102,ibahernando,caceres,38,37,70,108,292,266,279,545
10103,jaraicejo,caceres,28,20,36,82,270,210,226,436
10104,jaraiz,caceres,1158,498,729,1766,2573,3413,3311,6724
10105,jarandilla,caceres,355,199,257,767,1263,1410,1431,2841
10106,jarilla,caceres,7,7,9,27,89,73,66,139
10107,jerte,caceres,159,82,118,324,522,600,605,1205
10108,ladrillar,caceres,6,9,14,56,100,109,76,185
10109,logrosan,caceres,282,106,210,447,865,985,925,1910
10110,losar,caceres,366,193,285,764,1200,1429,1379,2808
10111,madrigal,caceres,140,86,148,387,775,813,723,1536
10112,madrigalejo,caceres,192,115,181,454,762,857,847,1704
10113,madronera,caceres,259,152,269,560,1133,1194,1179,2373
10114,majadas,caceres,223,76,146,320,496,641,620,1261
10115,malpartida,caceres,529,280,389,1109,1725,2014,2018,4032
10116,malpartida,caceres,755,347,456,1396,1709,2307,2356,4663
10117,marchagaz,caceres,20,13,21,56,128,132,106,238
10118,mata,caceres,25,20,26,60,159,149,141,290
10119,membrio,caceres,50,29,67,124,308,286,292,578
10120,mesas,caceres,6,7,13,27,101,76,78,154
10121,miajadas,caceres,1485,739,1033,2585,3526,4655,4713,9368
10122,millanes,caceres,22,13,22,47,122,117,109,226
10123,mirabel,caceres,62,35,49,159,328,324,309,633
10124,mohedas,caceres,107,47,76,214,418,426,436,862
10125,monroy,caceres,94,49,78,242,421,459,425,884
10126,montanchez,caceres,197,76,143,405,801,820,802,1622
10127,montehermoso,caceres,921,402,548,1551,2177,2852,2747,5599
10128,moraleja,caceres,960,434,595,1906,2682,3258,3319,6577
10129,morcillo,caceres,26,22,37,99,185,175,194,369
10130,navaconcejo,caceres,298,132,205,544,866,1027,1018,2045
10131,navalmoral,caceres,3176,1348,1783,4906,5830,8250,8793,17043
10132,navalvillar,caceres,34,20,32,96,198,200,180,380
10133,navas,caceres,149,74,128,316,592,622,637,1259
10134,navezuelas,caceres,82,43,68,142,314,335,314,649
10135,nunomoral,caceres,123,48,74,312,645,645,557,1202
10136,oliva,caceres,30,7,31,79,145,169,123,292
10137,palomero,caceres,53,26,44,104,225,236,216,452
10138,pasaron,caceres,62,37,60,157,278,283,311,594
10139,pedroso,caceres,3,7,11,29,53,61,42,103
10140,peraleda,caceres,245,91,114,409,570,712,717,1429
10141,peraleda,caceres,27,21,14,51,166,156,123,279
10142,perales,caceres,100,53,96,235,422,459,447,906
10143,pescueza,caceres,17,2,7,28,94,66,82,148
10144,"pesga,",caceres,99,38,63,221,534,496,459,955
10145,piedras,caceres,6,14,8,24,72,60,64,124
10146,pinofranqueado,caceres,263,118,152,516,722,930,841,1771
10147,piornal,caceres,173,111,146,408,615,741,712,1453
10148,plasencia,caceres,6458,3067,4007,11492,15028,19251,20801,40052
10149,plasenzuela,caceres,53,42,54,94,279,262,260,522
10150,portaje,caceres,34,26,32,76,208,192,184,376
10151,portezuelo,caceres,22,4,22,57,102,114,93,207
10152,pozuelo,caceres,46,21,26,101,234,217,211,428
10153,puerto,caceres,22,15,26,61,140,136,128,264
10154,rebollar,caceres,22,16,14,61,83,104,92,196
10155,riolobos,caceres,117,72,107,320,561,574,603,1177
10156,robledillo,caceres,7,2,5,28,52,56,38,94
10157,robledillo,caceres,19,17,22,60,142,137,123,260
10158,robledillo,caceres,27,26,31,95,188,193,174,367
10159,robledollano,caceres,18,17,29,65,192,182,139,321
10160,romangordo,caceres,24,13,25,48,141,121,130,251
10161,ruanes,caceres,7,6,9,19,41,40,42,82
10162,salorino,caceres,41,22,54,127,294,288,250,538
10163,salvatierra,caceres,13,5,17,41,171,128,119,247
10164,san,caceres,47,42,56,146,414,339,366,705
10165,santa,caceres,15,13,36,55,187,154,152,306
10166,santa,caceres,39,26,28,89,142,168,156,324
10167,santa,caceres,17,15,28,63,166,165,124,289
10168,santa,caceres,13,9,17,53,199,148,143,291
10169,santiago,caceres,21,26,35,87,293,228,234,462
10170,santiago,caceres,19,9,22,60,139,125,124,249
10171,santibanez,caceres,34,21,30,113,187,209,176,385
10172,santibanez,caceres,59,42,73,162,376,371,341,712
10173,saucedilla,caceres,201,103,130,270,282,517,469,986
10174,segura,caceres,16,11,16,53,85,95,86,181
10175,serradilla,caceres,183,80,149,379,711,746,756,1502
10176,serrejon,caceres,58,19,39,106,188,206,204,410
10177,sierra,caceres,280,122,247,610,802,1054,1007,2061
10178,talavan,caceres,101,27,72,179,392,400,371,771
10179,talaveruela,caceres,22,14,17,85,163,156,145,301
10180,talayuela,caceres,1523,680,841,2105,2125,3871,3403,7274
10181,tejeda,caceres,79,60,63,178,385,400,365,765
10182,toril,caceres,23,13,19,49,54,97,61,158
10183,tornavacas,caceres,124,64,90,259,481,528,490,1018
10184,"torno,",caceres,84,40,68,203,432,450,377,827
10185,torrecilla,caceres,70,33,55,141,342,336,305,641
10186,torrecillas,caceres,131,56,123,264,474,532,516,1048
10187,torre,caceres,64,26,40,133,213,246,230,476
10188,torre,caceres,36,31,52,115,285,256,263,519
10189,torrejoncillo,caceres,370,192,272,728,1209,1356,1415,2771
10190,torrejon,caceres,48,24,53,142,272,276,263,539
10191,torremenga,caceres,79,43,64,164,267,320,297,617
10192,torremocha,caceres,56,32,56,155,450,380,369,749
10193,torreorgaz,caceres,254,113,199,457,650,825,848,1673
10194,torrequemada,caceres,54,32,45,130,302,277,286,563
10195,trujillo,caceres,1197,648,815,2416,3592,4197,4471,8668
10196,valdastillas,caceres,27,14,27,82,171,164,157,321
10197,valdecanas,caceres,8,2,8,23,57,53,45,98
10198,valdefuentes,caceres,109,62,110,249,575,541,564,1105
10199,valdehuncar,caceres,20,11,19,58,79,103,84,187
10200,valdelacasa,caceres,15,11,24,74,217,177,164,341
10201,valdemorales,caceres,17,9,32,50,107,108,107,215
10202,valdeobispo,caceres,53,40,48,150,319,306,304,610
10203,valencia,caceres,660,329,430,1434,2334,2560,2627,5187
10204,valverde,caceres,40,24,27,107,250,226,222,448
10205,valverde,caceres,233,126,186,553,1044,1083,1059,2142
10206,viandar,caceres,24,7,14,61,112,111,107,218
10207,villa,caceres,27,16,48,99,255,229,216,445
10208,villa,caceres,7,5,10,29,65,59,57,116
10209,villamesias,caceres,14,12,31,56,163,149,127,276
10210,villamiel,caceres,13,25,51,83,254,220,206,426
10211,villanueva,caceres,63,34,38,110,251,261,235,496
10212,villanueva,caceres,290,133,169,617,903,1058,1054,2112
10213,villar,caceres,41,22,60,110,323,288,268,556
10214,villar,caceres,10,13,17,47,145,123,109,232
10215,villasbuenas,caceres,39,19,63,126,262,250,259,509
10216,zarza,caceres,255,120,185,481,764,915,890,1805
10217,zarza,caceres,32,36,43,115,292,269,249,518
10218,zarza,caceres,123,59,120,254,571,568,559,1127
10219,zorita,caceres,126,61,98,291,673,614,635,1249
10901,rosalejo,caceres,202,86,142,384,533,692,655,1347
10902,vegaviana,caceres,131,56,74,232,357,431,419,850
10903,alagon,caceres,133,45,87,271,374,452,458,910
10904,tietar,caceres,136,51,70,268,333,461,397,858
10905,pueblonuevo,caceres,123,59,77,188,324,387,384,771
11001,alcala,cadiz,793,445,670,1564,1759,2689,2542,5231
11002,alcala,cadiz,745,364,549,1437,1837,2484,2448,4932
11003,algar,cadiz,231,104,148,426,536,726,719,1445
11004,algeciras,cadiz,24311,10234,13808,38778,37916,61554,63493,125047
11005,algodonales,cadiz,785,404,574,1546,2128,2742,2695,5437
11006,arcos,cadiz,5295,2615,3400,9713,10032,15493,15562,31055
11007,barbate,cadiz,3720,1797,2572,6793,7843,11326,11399,22725
11008,"barrios,",cadiz,4830,2012,2704,7959,7035,12303,12237,24540
11009,benaocaz,cadiz,95,47,88,241,290,407,354,761
11010,bornos,cadiz,1166,591,848,2288,2639,3756,3776,7532
11011,"bosque,",cadiz,381,168,255,694,751,1123,1126,2249
11012,cadiz,cadiz,14656,7596,10491,31483,46954,52386,58794,111180
11013,castellar,cadiz,540,225,366,887,972,1472,1518,2990
11014,conil,cadiz,4527,1656,2580,7885,7394,12036,12006,24042
11015,chiclana,cadiz,17004,7357,9646,28831,26967,44738,45067,89805
11016,chipiona,cadiz,3573,1537,2275,6058,6472,9948,9967,19915
11017,espera,cadiz,596,285,389,1194,1312,1888,1888,3776
11018,"gastor,",cadiz,230,112,174,517,673,861,845,1706
11019,grazalema,cadiz,256,137,209,601,804,996,1011,2007
11020,jerez,cadiz,38256,18047,22326,64839,71376,104706,110138,214844
11021,jimena,cadiz,1249,526,722,2008,2283,3460,3328,6788
11022,linea,cadiz,11924,4933,8008,19871,20251,32036,32951,64987
11023,medina,cadiz,2066,888,1238,3741,3873,5956,5850,11806
11024,olvera,cadiz,1214,594,818,2082,3141,3859,3990,7849
11025,paterna,cadiz,966,460,630,1791,1669,2865,2651,5516
11026,prado,cadiz,867,420,634,1747,2034,2809,2893,5702
11027,puerto,cadiz,16355,7556,9366,27353,29793,44214,46209,90423
11028,puerto,cadiz,7128,3352,4367,13436,13812,21051,21044,42095
11029,puerto,cadiz,1320,663,968,2082,1858,3496,3395,6891
11030,rota,cadiz,5207,2197,3321,9281,9954,14818,15142,29960
11031,san,cadiz,15998,7505,9522,28174,32594,45679,48114,93793
11032,sanlucar,cadiz,13078,5052,7790,21203,22764,34761,35126,69887
11033,san,cadiz,6750,2772,3917,11137,10041,17251,17366,34617
11034,setenil,cadiz,379,209,312,761,975,1363,1273,2636
11035,tarifa,cadiz,2983,1261,2021,6330,6062,9325,9332,18657
11036,torre,cadiz,116,55,73,219,337,401,399,800
11037,trebujena,cadiz,1247,528,726,2145,2405,3530,3521,7051
11038,ubrique,cadiz,2689,1164,1570,4974,6044,8079,8362,16441
11039,vejer,cadiz,2180,963,1365,4101,4432,6506,6535,13041
11040,villaluenga,cadiz,73,31,55,127,181,234,233,467
11041,villamartin,cadiz,2133,1032,1434,3686,3964,6162,6087,12249
11042,zahara,cadiz,164,112,134,388,562,684,676,1360
11901,benalup-casas,cadiz,1221,620,859,2265,2307,3680,3592,7272
11902,san,cadiz,729,332,521,1351,1536,2274,2195,4469
11903,san,cadiz,499,202,328,874,851,1416,1338,2754
12001,atzeneta,castellon/castello,179,64,133,353,580,673,636,1309
12002,ain,castellon/castello,10,5,12,34,71,68,64,132
12003,albocàsser,castellon/castello,204,72,149,349,557,667,664,1331
12004,alcalà,castellon/castello,1154,488,745,2123,2809,3710,3609,7319
12005,"alcora,",castellon/castello,1745,819,1068,3224,3730,5299,5287,10586
12006,alcudia,castellon/castello,14,13,38,43,105,114,99,213
12007,alfondeguilla,castellon/castello,113,57,88,233,379,427,443,870
12008,algimia,castellon/castello,10,12,27,68,140,139,118,257
12009,almassora,castellon/castello,5641,2045,3191,9664,7899,14262,14178,28440
12010,almedijar,castellon/castello,29,12,41,69,136,155,132,287
12011,almenara,castellon/castello,1113,437,720,2225,2227,3327,3395,6722
12012,altura,castellon/castello,685,264,422,1136,1333,1980,1860,3840
12013,aranuel,castellon/castello,9,5,16,41,88,90,69,159
12014,ares,castellon/castello,11,11,11,54,91,109,69,178
12015,argelita,castellon/castello,13,9,28,38,60,77,71,148
12016,artana,castellon/castello,308,130,186,530,813,998,969,1967
12017,ayodar,castellon/castello,7,14,13,47,101,101,81,182
12018,azuebar,castellon/castello,45,22,41,85,159,183,169,352
12020,barracas,castellon/castello,34,9,26,57,73,104,95,199
12021,betxi,castellon/castello,873,434,577,1681,2069,2787,2847,5634
12022,bejis,castellon/castello,38,31,38,108,182,239,158,397
12024,benafer,castellon/castello,19,11,29,42,71,82,90,172
12025,benafigos,castellon/castello,4,7,7,34,77,74,55,129
12026,benassal,castellon/castello,131,72,120,263,468,547,507,1054
12027,benicarlo,castellon/castello,5414,2303,3541,8799,9694,15190,14561,29751
12028,benicàssim/benicasim,castellon/castello,3456,1438,1891,6444,7108,10002,10335,20337
12029,benlloc,castellon/castello,190,86,127,323,397,566,557,1123
12031,borriol,castellon/castello,1134,447,592,1935,1836,3044,2900,5944
12032,borriana/burriana,castellon/castello,6655,3065,3898,11314,11722,18268,18386,36654
12033,cabanes,castellon/castello,543,203,363,965,1241,1720,1595,3315
12034,càlig,castellon/castello,345,132,211,579,792,1032,1027,2059
12036,canet,castellon/castello,77,34,65,171,351,354,344,698
12037,castell,castellon/castello,2,1,5,6,8,13,9,22
12038,castellfort,castellon/castello,23,10,17,55,84,97,92,189
12039,castellnovo,castellon/castello,94,52,90,213,437,461,425,886
12040,castello,castellon/castello,30730,13983,20003,54766,60379,86815,93046,179861
12041,castillo,castellon/castello,5,9,13,26,64,77,40,117
12042,cati,castellon/castello,103,39,77,204,338,384,377,761
12043,caudiel,castellon/castello,74,48,59,206,334,366,355,721
12044,cervera,castellon/castello,55,26,54,146,370,328,323,651
12045,cinctorres,castellon/castello,76,17,49,115,184,221,220,441
12046,cirat,castellon/castello,8,9,26,56,115,116,98,214
12048,cortes,castellon/castello,41,23,27,95,127,160,153,313
12049,costur,castellon/castello,71,42,38,185,199,279,256,535
12050,coves,castellon/castello,317,107,187,515,722,956,892,1848
12051,culla,castellon/castello,38,34,47,116,258,254,239,493
12052,xert,castellon/castello,57,55,72,168,334,346,340,686
12053,chilches/xilxes,castellon/castello,481,225,364,951,1062,1579,1504,3083
12055,xodos/chodos,castellon/castello,11,8,13,30,54,71,45,116
12056,chovar,castellon/castello,28,18,43,64,159,165,147,312
12057,eslida,castellon/castello,113,45,72,247,309,402,384,786
12058,espadilla,castellon/castello,11,7,9,29,34,50,40,90
12059,fanzara,castellon/castello,31,31,24,67,145,156,142,298
12060,figueroles,castellon/castello,67,32,51,145,222,256,261,517
12061,forcall,castellon/castello,69,25,41,116,226,229,248,477
12063,fuente,castellon/castello,4,3,11,18,24,33,27,60
12064,fuentes,castellon/castello,5,4,13,22,51,56,39,95
12065,gaibiel,castellon/castello,10,13,22,52,101,113,85,198
12067,geldo,castellon/castello,92,43,67,185,262,324,325,649
12068,herbers,castellon/castello,5,1,2,23,38,44,25,69
12069,higueras,castellon/castello,0,5,5,12,24,20,26,46
12070,"jana,",castellon/castello,107,43,58,175,304,353,334,687
12071,jerica,castellon/castello,257,114,161,507,688,871,856,1727
12072,llucena/lucena,castellon/castello,176,98,137,402,603,709,707,1416
12073,ludiente,castellon/castello,21,9,16,52,77,98,77,175
12074,"llosa,",castellon/castello,165,84,98,342,349,499,539,1038
12075,mata,castellon/castello,32,14,28,53,59,104,82,186
12076,matet,castellon/castello,8,2,4,28,49,56,35,91
12077,moncofa,castellon/castello,1246,460,914,2599,2725,4045,3899,7944
12078,montan,castellon/castello,42,23,30,97,229,217,204,421
12079,montanejos,castellon/castello,91,49,69,201,222,325,307,632
12080,morella,castellon/castello,357,144,270,689,1032,1230,1262,2492
12081,navajas,castellon/castello,111,55,75,248,375,442,422,864
12082,nules,castellon/castello,2649,1099,1427,4290,4646,7090,7021,14111
12083,olocau,castellon/castello,22,14,17,29,54,71,65,136
12084,onda,castellon/castello,4796,1944,2788,8216,8069,12910,12903,25813
12085,orpesa/oropesa,castellon/castello,2042,741,1233,3735,3843,5947,5647,11594
12087,palanques,castellon/castello,3,8,4,8,11,20,14,34
12088,pavias,castellon/castello,6,3,8,18,39,46,28,74
12089,peniscola/peniscola,castellon/castello,1369,490,820,2572,3208,4314,4145,8459
12090,pina,castellon/castello,9,8,8,36,59,67,53,120
12091,portell,castellon/castello,9,5,12,30,101,81,76,157
12092,puebla,castellon/castello,18,8,13,46,89,94,80,174
12093,pobla,castellon/castello,30,15,20,70,105,141,99,240
12094,pobla,castellon/castello,268,101,123,447,394,683,650,1333
12095,ribesalbes,castellon/castello,162,90,112,310,494,611,557,1168
12096,rossell,castellon/castello,100,70,85,232,413,467,433,900
12097,sacanet,castellon/castello,3,4,3,22,45,52,25,77
12098,"salzadella,",castellon/castello,94,41,58,164,322,344,335,679
12099,sant,castellon/castello,165,65,106,433,640,735,674,1409
12100,sant,castellon/castello,373,123,186,593,717,992,1000,1992
12101,san,castellon/castello,86,36,40,151,218,262,269,531
12102,santa,castellon/castello,122,43,73,224,308,401,369,770
12103,"serratella,",castellon/castello,6,10,8,35,55,54,60,114
12104,segorbe,castellon/castello,1636,708,1013,2826,3448,4790,4841,9631
12105,sierra,castellon/castello,130,56,111,272,472,548,493,1041
12106,soneja,castellon/castello,235,100,140,425,616,741,775,1516
12107,sot,castellon/castello,61,45,57,125,210,264,234,498
12108,suera/sueras,castellon/castello,91,36,58,174,222,298,283,581
12109,tales,castellon/castello,140,52,77,279,291,435,404,839
12110,teresa,castellon/castello,15,17,23,57,119,128,103,231
12111,tirig,castellon/castello,50,19,42,113,204,221,207,428
12112,todolella,castellon/castello,25,9,25,33,59,91,60,151
12113,toga,castellon/castello,9,10,14,24,52,59,50,109
12114,toras,castellon/castello,22,6,32,76,134,142,128,270
12115,"toro,",castellon/castello,21,12,28,65,136,138,124,262
12116,torralba,castellon/castello,1,6,7,14,30,30,28,58
12117,torreblanca,castellon/castello,900,384,626,1646,2136,2878,2814,5692
12118,torrechiva,castellon/castello,21,7,19,25,46,62,56,118
12119,torre,castellon/castello,18,6,21,38,79,91,71,162
12120,torre,castellon/castello,17,10,21,40,94,94,88,182
12121,traiguera,castellon/castello,171,82,94,350,611,672,636,1308
12122,"useres,",castellon/castello,107,31,88,283,456,509,456,965
12123,vallat,castellon/castello,2,10,12,25,23,36,36,72
12124,vall,castellon/castello,535,193,319,996,1045,1637,1451,3088
12125,vall,castellon/castello,23,20,26,70,139,149,129,278
12126,vall,castellon/castello,5404,2374,3216,9549,11301,15644,16200,31844
12127,vallibona,castellon/castello,2,5,3,19,35,37,27,64
12128,vilafames,castellon/castello,319,160,206,612,633,1036,894,1930
12129,vilafranca/villafranca,castellon/castello,286,140,217,504,989,1087,1049,2136
12130,villahermosa,castellon/castello,46,19,41,110,277,268,225,493
12131,villamalur,castellon/castello,3,5,11,27,51,61,36,97
12132,vilanova,castellon/castello,66,40,67,152,275,323,277,600
12133,villanueva,castellon/castello,3,8,14,25,48,52,46,98
12134,vilar,castellon/castello,17,20,12,46,61,75,81,156
12135,vila-real,castellon/castello,9801,4252,5703,16150,16617,26040,26483,52523
12136,"vilavella,",castellon/castello,438,250,288,861,1237,1526,1548,3074
12137,villores,castellon/castello,0,6,11,14,22,25,28,53
12138,vinaròs,castellon/castello,5154,2266,3107,8978,10754,14943,15316,30259
12139,vistabella,castellon/castello,29,26,34,99,178,204,162,366
12140,viver,castellon/castello,252,94,173,496,663,867,811,1678
12141,zorita,castellon/castello,11,11,13,21,56,54,58,112
12142,zucaina,castellon/castello,11,13,20,43,87,99,75,174
